DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 18-Oct-2016,4.000000,3,,,,,24,,100,40,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40,20,30,30,30,40,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 19-Oct-2016,4.000000,4,,,,,24,,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,20,40,20,30,20,30,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 20-Oct-2016,4.000000,3,,,,,24,,10,10,10,20,10,10,10,10,10,10,3,10,10,30,100,100,100,90,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 21-Oct-2016,4.000000,2,,,,,24,,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,30,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 22-Oct-2016,4.000000,4,,,,,24,,10,20,10,20,20,10,10,10,10,10,10,10,10,10,10,50,100,90,20,20,10,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 23-Oct-2016,4.000000,2,,,,,24,,10,10,20,20,10,10,10,10,10,10,10,10,10,50,20,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 24-Oct-2016,4.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,3,10,10,40,20,20,30,10,10,10,70,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 25-Oct-2016,4.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 26-Oct-2016,4.000000,3,,,,,24,,20,10,10,20,20,10,10,10,10,10,10,10,10,10,30,20,20,60,100,98,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 27-Oct-2016,4.000000,1,,,,,24,,10,10,20,20,10,10,10,10,10,10,10,10,10,10,20,20,20,30,20,40,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 28-Oct-2016,4.000000,4,,,,,24,,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,30,40,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 29-Oct-2016,5.000000,1,,,,,24,,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,20,30,10,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 30-Oct-2016,5.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,60,90,60,20,10,10,20,20,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 31-Oct-2016,5.000000,1,,,,,24,,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 02-Nov-2016,5.000000,3,,,,,24,,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 03-Nov-2016,5.000000,3,,,,,24,,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 04-Nov-2016,5.000000,3,,,,,24,,20,10,10,50,100,90,10,10,10,80,100,100,100,100,100,100,100,40,20,20,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 05-Nov-2016,5.000000,1,,,,,24,,10,20,10,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 06-Nov-2016,5.000000,2,,,,,24,,100,100,100,100,100,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 07-Nov-2016,5.000000,4,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 08-Nov-2016,5.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,50,30,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 09-Nov-2016,5.000000,3,,,,,24,,100,100,100,100,100,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 10-Nov-2016,5.000000,2,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 11-Nov-2016,5.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 12-Nov-2016,5.000000,2,,,,,24,,90,100,30,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 13-Nov-2016,6.000000,3,,,,,24,,100,100,100,100,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 14-Nov-2016,6.000000,4,,,,,24,,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 15-Nov-2016,6.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 16-Nov-2016,6.000000,5,,,,,24,,10,80,100,100,100,100,40,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 17-Nov-2016,6.000000,3,,,,,24,,60,100,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 18-Nov-2016,6.000000,1,,,,,24,,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 19-Nov-2016,6.000000,2,,,,,24,,10,10,10,20,20,20,20,20,20,20,20,10,20,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 20-Nov-2016,6.000000,1,,,,,24,,50,98,100,100,100,100,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,98,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 21-Nov-2016,6.000000,2,,,,,24,,100,100,20,10,10,10,10,20,10,10,3,10,10,10,10,10,10,10,10,10,20,80,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 22-Nov-2016,6.000000,5,,,,,24,,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 24-Nov-2016,6.000000,2,,,,,24,,100,100,100,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,50,30,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 27-Nov-2016,6.000000,2,,,,,24,,10,10,10,20,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 28-Nov-2016,7.000000,1,,,,,24,,10,10,20,40,10,20,30,10,10,10,20,30,10,10,20,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 29-Nov-2016,7.000000,4,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 30-Nov-2016,7.000000,4,,,,,24,,10,10,10,10,10,30,20,10,90,100,100,100,100,100,70,10,10,10,10,20,20,10,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 01-Dec-2016,7.000000,2,,,,,24,,10,10,10,10,30,20,10,10,30,98,100,100,100,100,100,100,20,10,10,10,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 03-Dec-2016,7.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 05-Dec-2016,7.000000,3,,,,,24,,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 06-Dec-2016,7.000000,3,,,,,24,,20,40,20,90,100,70,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 07-Dec-2016,7.000000,4,,,,,24,,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 08-Dec-2016,7.000000,7,,,,,24,,10,10,10,30,100,100,100,100,70,10,10,10,10,20,70,100,100,100,100,90,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 09-Dec-2016,7.000000,2,,,,,24,,10,20,90,100,100,100,100,98,90,30,10,10,10,10,10,10,10,10,10,10,10,10,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 10-Dec-2016,7.000000,5,,,,,24,,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 12-Dec-2016,7.000000,3,,,,,24,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 13-Dec-2016,8.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 14-Dec-2016,8.000000,3,,,,,24,,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 15-Dec-2016,8.000000,1,,,,,24,,100,100,100,98,70,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 17-Dec-2016,8.000000,2,,,,,24,,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 18-Dec-2016,8.000000,1,,,,,24,,40,100,100,90,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 20-Dec-2016,8.000000,2,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 21-Dec-2016,8.000000,2,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3021_15A0891,164825,,Transmission,Mk10,Percent,00:00:00 22-Dec-2016,8.000000,3,,,,,24,,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
